mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,3.33,1.56,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",8,13.86,12.73,10.85,9.35,8.15,7.16
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",10,13.85,12.57,10.25,8.25,6.64,5.32
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",12,10.22,8.97,6.88,5.23,3.9,2.81
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",14,6.9,5.84,4.1,2.71,1.59,0.68
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",16,4.04,3.15,1.68,0.51,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",18,1.61,0.85,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",20,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",8,29.94,27.5,23.43,20.21,17.6,15.47
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",10,29.94,27.5,23.43,20.21,17.6,15.47
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",12,27.54,24.86,20.24,16.57,13.62,11.2
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",14,21.21,18.87,14.98,11.89,9.4,7.36
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",16,15.81,13.83,10.52,7.9,5.78,4.05
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",18,11.37,9.66,6.81,4.56,2.73,1.24
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",20,7.58,6.1,3.62,1.66,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",22,4.28,2.98,0.81,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",24,1.48,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",26,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",28,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",8,56.95,52.31,44.58,38.43,33.48,29.43
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",10,56.95,52.31,44.58,38.43,33.48,29.43
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",12,56.09,51.02,42.58,35.75,30.13,25.53
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",14,45.38,40.92,33.52,27.63,22.89,19
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",16,35.93,32.15,25.84,20.83,16.79,13.49
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",18,28.31,25.03,19.58,15.26,11.76,8.91
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",20,21.87,19.02,14.26,10.49,7.45,4.95
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",22,16.16,13.66,9.5,6.2,3.54,1.36
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",24,11.48,9.26,5.56,2.62,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",26,7.08,5.1,1.82,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",28,3.33,1.56,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",30,0,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",8,28.46,25.97,21.82,18.52,15.86,13.68
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",10,21.67,19.69,16.38,13.76,11.65,9.9
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",12,16.93,15.29,12.56,10.23,8.3,6.73
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",14,13.08,11.56,9.04,7.04,5.42,4.09
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",16,9.4,8.12,5.99,4.29,2.93,1.81
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",18,6.35,5.26,3.42,1.98,0.81,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"5"" x 5-1/2""",20,1.43,0.6,0,0,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,62.59,57.24,48.33,41.25,35.56,30.89
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,48.55,44.29,37.19,31.55,27,23.28
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,38.93,35.38,29.48,24.71,20.7,17.42
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,31.36,28.22,22.95,18.76,15.38,12.61
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,24.49,21.8,17.31,13.76,10.88,8.54
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,18.89,16.57,12.7,9.63,7.16,5.13
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,14.18,12.16,8.79,6.11,3.96,2.19
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,10.14,8.36,5.39,3.04,1.15,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,6.78,5.19,2.53,0,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,3.57,2.15,0,0,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,0.8,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,122.02,111.73,94.59,80.98,70.02,61.04
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,95.55,87.34,73.65,62.8,54.04,46.86
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,77.51,70.7,59.32,50.28,43,36.91
