mount_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,wind_speed_mph,Alaskan Yellow Cedar Poles,Southern Yellow Pine Poles
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,120,0,4.86
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,130,0,1.16
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,140,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,150,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,160,0,0
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,115,19.3,28.46
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,120,17.54,25.97
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,130,14.61,21.82
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,140,12.28,18.52
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,150,10.4,15.86
BASE,Top Mount Fixture,"5"" x 5-1/2""",8,160,8.87,13.68
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,115,14.31,21.67
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,120,12.91,19.69
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,130,10.54,16.38
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,140,8.5,13.76
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,150,6.86,11.65
BASE,Top Mount Fixture,"5"" x 5-1/2""",10,160,5.51,9.9
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,115,10.53,16.93
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,120,9.25,15.29
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,130,7.13,12.56
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,140,5.44,10.23
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,150,4.08,8.3
BASE,Top Mount Fixture,"5"" x 5-1/2""",12,160,2.97,6.73
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,115,7.16,13.08
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,120,6.08,11.56
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,130,4.3,9.04
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,140,2.89,7.04
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,150,1.75,5.42
BASE,Top Mount Fixture,"5"" x 5-1/2""",14,160,0.81,4.09
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,115,4.26,9.4
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,120,3.36,8.12
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,130,1.85,5.99
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,140,0.66,4.29
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,150,0,2.93
BASE,Top Mount Fixture,"5"" x 5-1/2""",16,160,0,1.81
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,115,1.8,6.35
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,120,1.03,5.26
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,130,0,3.42
